	id_conv	id_caller	id_speaker	id_topic	sex	age	geography	level_study
118	2094	A	1072	302	FEMALE	54	SOUTH MIDLAND	2
119	2094	B	1056	302	MALE	47	WESTERN	3
120	2095	A	1169	313	MALE	34	NORTH MIDLAND	2
121	2095	B	1221	313	MALE	53	NYC	3
122	2096	A	1139	354	MALE	39	NORTHERN	2
123	2096	B	1112	354	FEMALE	39	SOUTHERN	3
124	2101	A	1148	339	FEMALE	36	SOUTH MIDLAND	3
125	2101	B	1016	339	FEMALE	50	SOUTHERN	2
126	2102	A	1138	339	FEMALE	34	SOUTH MIDLAND	2
127	2102	B	1056	339	MALE	47	WESTERN	3
128	2104	A	1031	338	FEMALE	55	SOUTH MIDLAND	3
129	2104	B	1013	338	FEMALE	38	SOUTH MIDLAND	2
130	2105	A	1000	365	FEMALE	41	SOUTH MIDLAND	1
131	2105	B	1133	365	MALE	60	SOUTH MIDLAND	2
132	2107	A	1053	351	FEMALE	28	SOUTH MIDLAND	2
133	2107	B	1135	351	FEMALE	32	SOUTH MIDLAND	2
134	2108	A	1151	364	MALE	42	SOUTHERN	3
135	2108	B	1181	364	MALE	37	SOUTH MIDLAND	2
136	2109	A	1123	348	FEMALE	39	SOUTH MIDLAND	3
137	2109	B	1076	348	MALE	37	SOUTH MIDLAND	3
138	2110	A	1174	327	MALE	33	MIXED	2
139	2110	B	1071	327	FEMALE	44	SOUTH MIDLAND	3
140	2111	A	1055	335	FEMALE	30	SOUTH MIDLAND	2
141	2111	B	1106	335	FEMALE	31	SOUTH MIDLAND	2
142	2113	A	1152	348	FEMALE	48	SOUTH MIDLAND	2
143	2113	B	1026	348	FEMALE	38	SOUTHERN	2
144	2114	A	1025	314	MALE	42	SOUTH MIDLAND	2
145	2114	B	1050	314	MALE	45	SOUTHERN	3
146	2116	A	1139	307	MALE	39	NORTHERN	2
147	2116	B	1128	307	MALE	62	SOUTH MIDLAND	2
148	2118	A	1180	349	FEMALE	61	NORTH MIDLAND	2
149	2118	B	1016	349	FEMALE	50	SOUTHERN	2
150	2120	A	1123	329	FEMALE	39	SOUTH MIDLAND	3
151	2120	B	1169	329	MALE	34	NORTH MIDLAND	2
152	2121	A	1121	302	MALE	58	NEW ENGLAND	2
153	2121	B	1087	302	MALE	37	NORTHERN	3
154	2122	A	1167	325	MALE	26	NORTHERN	3
155	2122	B	1112	325	FEMALE	39	SOUTHERN	3
156	2123	A	1145	316	MALE	26	MIXED	2
157	2123	B	1044	316	FEMALE	33	SOUTH MIDLAND	1
158	2124	A	1083	306	FEMALE	33	SOUTHERN	2
159	2124	B	1026	306	FEMALE	38	SOUTHERN	2
160	2125	A	1005	321	FEMALE	39	WESTERN	2
161	2125	B	1142	321	MALE	32	NORTHERN	2
162	2129	A	1013	345	FEMALE	38	SOUTH MIDLAND	2
163	2129	B	1147	345	MALE	53	SOUTH MIDLAND	3
164	2130	A	1073	352	MALE	28	NORTHERN	3
165	2130	B	1170	352	MALE	43	WESTERN	3
166	2131	A	1128	308	MALE	62	SOUTH MIDLAND	2
167	2131	B	1126	308	FEMALE	32	SOUTH MIDLAND	2
168	2136	A	1175	354	FEMALE	39	WESTERN	9
169	2136	B	1120	354	FEMALE	26	NORTH MIDLAND	2
170	2137	A	1039	327	MALE	52	SOUTHERN	3
171	2137	B	1089	327	FEMALE	56	SOUTH MIDLAND	2
172	2139	A	1018	336	FEMALE	33	SOUTH MIDLAND	3
173	2139	B	1101	336	MALE	56	SOUTH MIDLAND	3
174	2141	A	1139	348	MALE	39	NORTHERN	2
175	2141	B	1098	348	FEMALE	38	SOUTH MIDLAND	2
176	2145	A	1152	329	FEMALE	48	SOUTH MIDLAND	2
177	2145	B	1119	329	MALE	49	MIXED	3
178	2149	A	1028	327	MALE	30	NYC	3
179	2149	B	1106	327	FEMALE	31	SOUTH MIDLAND	2
180	2150	A	1175	322	FEMALE	39	WESTERN	9
181	2150	B	1075	322	FEMALE	38	MIXED	2
182	2151	A	1010	327	MALE	63	NEW ENGLAND	1
183	2151	B	1126	327	FEMALE	32	SOUTH MIDLAND	2
184	2152	A	1042	358	FEMALE	57	NEW ENGLAND	1
185	2152	B	1128	358	MALE	62	SOUTH MIDLAND	2
186	2153	A	1153	324	FEMALE	36	WESTERN	3
187	2153	B	1139	324	MALE	39	NORTHERN	2
188	2154	A	1002	349	FEMALE	32	SOUTHERN	2
189	2154	B	1085	349	MALE	48	SOUTH MIDLAND	3
190	2155	A	1120	305	FEMALE	26	NORTH MIDLAND	2
191	2155	B	1138	305	FEMALE	34	SOUTH MIDLAND	2
192	2157	A	1018	307	FEMALE	33	SOUTH MIDLAND	3
193	2157	B	1024	307	MALE	31	NORTH MIDLAND	2
194	2158	A	1167	303	MALE	26	NORTHERN	3
195	2158	B	1127	303	MALE	62	NEW ENGLAND	3
196	2160	A	1167	312	MALE	26	NORTHERN	3
197	2160	B	1123	312	FEMALE	39	SOUTH MIDLAND	3
198	2161	A	1157	335	FEMALE	51	MIXED	2
199	2161	B	1002	335	FEMALE	32	SOUTHERN	2
200	2162	A	1132	339	FEMALE	53	SOUTH MIDLAND	3
201	2162	B	1151	339	MALE	42	SOUTHERN	3
202	2163	A	1000	304	FEMALE	41	SOUTH MIDLAND	1
203	2163	B	1129	304	FEMALE	53	MIXED	2
204	2164	A	1042	322	FEMALE	57	NEW ENGLAND	1
205	2164	B	1023	322	MALE	56	SOUTHERN	2
206	2165	A	1128	306	MALE	62	SOUTH MIDLAND	2
207	2165	B	1035	306	FEMALE	42	NORTH MIDLAND	2
208	2166	A	1141	316	MALE	33	MIXED	3
209	2166	B	1011	316	FEMALE	31	SOUTH MIDLAND	2
210	2167	A	1152	319	FEMALE	48	SOUTH MIDLAND	2
211	2167	B	1033	319	FEMALE	30	SOUTH MIDLAND	1
212	2168	A	1071	353	FEMALE	44	SOUTH MIDLAND	3
213	2168	B	1039	353	MALE	52	SOUTHERN	3
214	2169	A	1124	336	MALE	35	NORTH MIDLAND	3
215	2169	B	1083	336	FEMALE	33	SOUTHERN	2
216	2171	A	1024	327	MALE	31	NORTH MIDLAND	2
217	2171	B	1055	327	FEMALE	30	SOUTH MIDLAND	2
218	2172	A	1022	361	FEMALE	36	SOUTH MIDLAND	2
219	2172	B	1139	361	MALE	39	NORTHERN	2
220	2173	A	1018	339	FEMALE	33	SOUTH MIDLAND	3
221	2173	B	1068	339	FEMALE	36	SOUTH MIDLAND	3
222	2174	A	1122	313	MALE	31	SOUTH MIDLAND	9
223	2174	B	1028	313	MALE	30	NYC	3
224	2175	A	1120	358	FEMALE	26	NORTH MIDLAND	2
225	2175	B	1179	358	FEMALE	36	SOUTH MIDLAND	2
226	2176	A	1019	361	MALE	54	NEW ENGLAND	3
227	2176	B	1176	361	FEMALE	36	MIXED	2
228	2177	A	1057	348	FEMALE	32	NORTH MIDLAND	2
229	2177	B	1013	348	FEMALE	38	SOUTH MIDLAND	2
230	2178	A	1000	348	FEMALE	41	SOUTH MIDLAND	1
231	2178	B	1035	348	FEMALE	42	NORTH MIDLAND	2
232	2179	A	1010	313	MALE	63	NEW ENGLAND	1
233	2179	B	1128	313	MALE	62	SOUTH MIDLAND	2
234	2180	A	1123	341	FEMALE	39	SOUTH MIDLAND	3
235	2180	B	1117	341	MALE	45	NORTH MIDLAND	2
236	2181	A	1110	348	MALE	34	WESTERN	3
237	2181	B	1174	348	MALE	33	MIXED	2
238	2182	A	1181	329	MALE	37	SOUTH MIDLAND	2
239	2182	B	1027	329	FEMALE	34	NORTH MIDLAND	2
240	2184	A	1152	354	FEMALE	48	SOUTH MIDLAND	2
241	2184	B	1091	354	FEMALE	53	SOUTH MIDLAND	1
242	2185	A	1071	350	FEMALE	44	SOUTH MIDLAND	3
243	2185	B	1142	350	MALE	32	NORTHERN	2
244	2186	A	1139	309	MALE	39	NORTHERN	2
245	2186	B	1214	309	FEMALE	35	NEW ENGLAND	2
246	2187	A	1214	306	FEMALE	35	NEW ENGLAND	2
247	2187	B	1093	306	FEMALE	35	NORTH MIDLAND	2
248	2189	A	1078	365	MALE	31	MIXED	9
249	2189	B	1033	365	FEMALE	30	SOUTH MIDLAND	1
250	2190	A	1104	302	MALE	57	NYC	3
251	2190	B	1039	302	MALE	52	SOUTHERN	3
252	2191	A	1148	356	FEMALE	36	SOUTH MIDLAND	3
253	2191	B	1086	356	FEMALE	30	SOUTHERN	2
254	2193	A	1106	329	FEMALE	31	SOUTH MIDLAND	2
255	2193	B	1159	329	MALE	51	NORTH MIDLAND	3
256	2194	A	1019	325	MALE	54	NEW ENGLAND	3
257	2194	B	1220	325	MALE	29	MIXED	2
258	2195	A	1180	341	FEMALE	61	NORTH MIDLAND	2
259	2195	B	1157	341	FEMALE	51	MIXED	2
260	2196	A	1181	343	MALE	37	SOUTH MIDLAND	2
261	2196	B	1022	343	FEMALE	36	SOUTH MIDLAND	2
262	2197	A	1110	324	MALE	34	WESTERN	3
263	2197	B	1073	324	MALE	28	NORTHERN	3
264	2198	A	1145	348	MALE	26	MIXED	2
265	2198	B	1124	348	MALE	35	NORTH MIDLAND	3
266	2199	A	1124	361	MALE	35	NORTH MIDLAND	3
267	2199	B	1138	361	FEMALE	34	SOUTH MIDLAND	2
268	2201	A	1060	354	FEMALE	53	WESTERN	1
269	2201	B	1059	354	MALE	32	SOUTH MIDLAND	2
270	2202	A	1141	308	MALE	33	MIXED	3
271	2202	B	1042	308	FEMALE	57	NEW ENGLAND	1
272	2203	A	1151	361	MALE	42	SOUTHERN	3
273	2203	B	1107	361	FEMALE	34	WESTERN	2
274	2204	A	1041	341	MALE	59	MIXED	3
275	2204	B	1101	341	MALE	56	SOUTH MIDLAND	3
276	2205	A	1148	349	FEMALE	36	SOUTH MIDLAND	3
277	2205	B	1039	349	MALE	52	SOUTHERN	3
278	2206	A	1139	313	MALE	39	NORTHERN	2
279	2206	B	1156	313	FEMALE	49	SOUTHERN	2
280	2220	A	1071	308	FEMALE	44	SOUTH MIDLAND	3
281	2220	B	1179	308	FEMALE	36	SOUTH MIDLAND	2
282	2221	A	1013	341	FEMALE	38	SOUTH MIDLAND	2
283	2221	B	1108	341	MALE	45	NORTHERN	2
284	2222	A	1145	307	MALE	26	MIXED	2
285	2222	B	1123	307	FEMALE	39	SOUTH MIDLAND	3
286	2223	A	1010	353	MALE	63	NEW ENGLAND	1
287	2223	B	1045	353	FEMALE	26	WESTERN	2
288	2224	A	1010	307	MALE	63	NEW ENGLAND	1
289	2224	B	1115	307	MALE	37	SOUTH MIDLAND	2
290	2226	A	1152	311	FEMALE	48	SOUTH MIDLAND	2
291	2226	B	1106	311	FEMALE	31	SOUTH MIDLAND	2
292	2227	A	1167	339	MALE	26	NORTHERN	3
293	2227	B	1401	339	FEMALE	20	SOUTH MIDLAND	1
294	2228	A	1120	337	FEMALE	26	NORTH MIDLAND	2
295	2228	B	1119	337	MALE	49	MIXED	3
296	2229	A	1139	356	MALE	39	NORTHERN	2
297	2229	B	1075	356	FEMALE	38	MIXED	2
298	2230	A	1084	355	MALE	36	WESTERN	3
299	2230	B	1181	355	MALE	37	SOUTH MIDLAND	2
300	2231	A	1000	322	FEMALE	41	SOUTH MIDLAND	1
301	2231	B	1138	322	FEMALE	34	SOUTH MIDLAND	2
302	2232	A	1083	328	FEMALE	33	SOUTHERN	2
303	2232	B	1039	328	MALE	52	SOUTHERN	3
304	2233	A	1128	353	MALE	62	SOUTH MIDLAND	2
305	2233	B	1028	353	MALE	30	NYC	3
306	2234	A	1148	340	FEMALE	36	SOUTH MIDLAND	3
307	2234	B	1094	340	FEMALE	35	SOUTH MIDLAND	2
308	2235	A	1052	359	MALE	65	NYC	2
309	2235	B	1083	359	FEMALE	33	SOUTHERN	2
310	2236	A	1016	364	FEMALE	50	SOUTHERN	2
311	2236	B	1041	364	MALE	59	MIXED	3
312	2237	A	1043	361	FEMALE	59	NORTH MIDLAND	1
313	2237	B	1108	361	MALE	45	NORTHERN	2
314	2238	A	1180	305	FEMALE	61	NORTH MIDLAND	2
315	2238	B	1096	305	FEMALE	32	SOUTH MIDLAND	2
316	2239	A	1075	327	FEMALE	38	MIXED	2
317	2239	B	1176	327	FEMALE	36	MIXED	2
318	2240	A	1121	350	MALE	58	NEW ENGLAND	2
319	2240	B	1147	350	MALE	53	SOUTH MIDLAND	3
320	2241	A	1169	361	MALE	34	NORTH MIDLAND	2
321	2241	B	1142	361	MALE	32	NORTHERN	2
322	2242	A	1010	321	MALE	63	NEW ENGLAND	1
323	2242	B	1095	321	MALE	37	MIXED	3
324	2243	A	1151	357	MALE	42	SOUTHERN	3
325	2243	B	1130	357	FEMALE	54	NORTHERN	3
326	2244	A	1130	306	FEMALE	54	NORTHERN	3
327	2244	B	1107	306	FEMALE	34	WESTERN	2
328	2245	A	1141	339	MALE	33	MIXED	3
329	2245	B	1126	339	FEMALE	32	SOUTH MIDLAND	2
330	2246	A	1013	359	FEMALE	38	SOUTH MIDLAND	2
331	2246	B	1110	359	MALE	34	WESTERN	3
332	2247	A	1085	325	MALE	48	SOUTH MIDLAND	3
333	2247	B	1170	325	MALE	43	WESTERN	3
334	2248	A	1000	321	FEMALE	41	SOUTH MIDLAND	1
335	2248	B	1112	321	FEMALE	39	SOUTHERN	3
336	2249	A	1132	335	FEMALE	53	SOUTH MIDLAND	3
337	2249	B	1135	335	FEMALE	32	SOUTH MIDLAND	2
338	2250	A	1145	345	MALE	26	MIXED	2
339	2250	B	1133	345	MALE	60	SOUTH MIDLAND	2
340	2251	A	1401	341	FEMALE	20	SOUTH MIDLAND	1
341	2251	B	1181	341	MALE	37	SOUTH MIDLAND	2
342	2252	A	1078	338	MALE	31	MIXED	9
343	2252	B	1140	338	MALE	54	SOUTH MIDLAND	2
344	2253	A	1140	311	MALE	54	SOUTH MIDLAND	2
345	2253	B	1149	311	FEMALE	41	NORTH MIDLAND	2
346	2254	A	1124	316	MALE	35	NORTH MIDLAND	3
347	2254	B	1007	316	FEMALE	30	NEW ENGLAND	2
348	2255	A	1139	319	MALE	39	NORTHERN	2
349	2255	B	1175	319	FEMALE	39	WESTERN	9
350	2256	A	1063	358	MALE	30	NORTH MIDLAND	3
351	2256	B	1152	358	FEMALE	48	SOUTH MIDLAND	2
352	2257	A	1115	315	MALE	37	SOUTH MIDLAND	2
353	2257	B	1159	315	MALE	51	NORTH MIDLAND	3
354	2258	A	1140	313	MALE	54	SOUTH MIDLAND	2
355	2258	B	1102	313	MALE	30	SOUTH MIDLAND	2
356	2259	A	1055	344	FEMALE	30	SOUTH MIDLAND	2
357	2259	B	1101	344	MALE	56	SOUTH MIDLAND	3
358	2260	A	1047	340	MALE	32	SOUTH MIDLAND	2
359	2260	B	1005	340	FEMALE	39	WESTERN	2
360	2261	A	1180	359	FEMALE	61	NORTH MIDLAND	2
361	2261	B	1122	359	MALE	31	SOUTH MIDLAND	9
362	2262	A	1043	302	FEMALE	59	NORTH MIDLAND	1
363	2262	B	1148	302	FEMALE	36	SOUTH MIDLAND	3
364	2263	A	1043	321	FEMALE	59	NORTH MIDLAND	1
365	2263	B	1059	321	MALE	32	SOUTH MIDLAND	2
366	2264	A	1096	335	FEMALE	32	SOUTH MIDLAND	2
367	2264	B	1094	335	FEMALE	35	SOUTH MIDLAND	2
368	2265	A	1052	349	MALE	65	NYC	2
369	2265	B	1061	349	MALE	38	SOUTH MIDLAND	2
370	2266	A	1061	339	MALE	38	SOUTH MIDLAND	2
371	2266	B	1098	339	FEMALE	38	SOUTH MIDLAND	2
372	2267	A	1120	314	FEMALE	26	NORTH MIDLAND	2
373	2267	B	1126	314	FEMALE	32	SOUTH MIDLAND	2
374	2268	A	1031	360	FEMALE	55	SOUTH MIDLAND	3
375	2268	B	1112	360	FEMALE	39	SOUTHERN	3
376	2269	A	1181	321	MALE	37	SOUTH MIDLAND	2
377	2269	B	1087	321	MALE	37	NORTHERN	3
378	2270	A	1147	348	MALE	53	SOUTH MIDLAND	3
379	2270	B	1061	348	MALE	38	SOUTH MIDLAND	2
380	2271	A	1154	319	MALE	26	SOUTHERN	2
381	2271	B	1170	319	MALE	43	WESTERN	3
382	2272	A	1016	327	FEMALE	50	SOUTHERN	2
383	2272	B	1007	327	FEMALE	30	NEW ENGLAND	2
384	2273	A	1019	358	MALE	54	NEW ENGLAND	3
385	2273	B	1023	358	MALE	56	SOUTHERN	2
386	2274	A	1007	342	FEMALE	30	NEW ENGLAND	2
387	2274	B	1075	342	FEMALE	38	MIXED	2
388	2275	A	1115	339	MALE	37	SOUTH MIDLAND	2
389	2275	B	1026	339	FEMALE	38	SOUTHERN	2
390	2276	A	1105	349	FEMALE	51	NYC	3
391	2276	B	1063	349	MALE	30	NORTH MIDLAND	3
392	2277	A	1033	305	FEMALE	30	SOUTH MIDLAND	1
393	2277	B	1175	305	FEMALE	39	WESTERN	9
394	2278	A	1090	365	MALE	31	NORTH MIDLAND	2
395	2278	B	1028	365	MALE	30	NYC	3
396	2279	A	1167	358	MALE	26	NORTHERN	3
397	2279	B	1000	358	FEMALE	41	SOUTH MIDLAND	1
398	2280	A	1175	313	FEMALE	39	WESTERN	9
399	2280	B	1116	313	MALE	40	SOUTH MIDLAND	3
400	2281	A	1260	311	FEMALE	42	NORTH MIDLAND	2
401	2281	B	1159	311	MALE	51	NORTH MIDLAND	3
402	2282	A	1139	322	MALE	39	NORTHERN	2
403	2282	B	1149	322	FEMALE	41	NORTH MIDLAND	2
404	2283	A	1214	361	FEMALE	35	NEW ENGLAND	2
405	2283	B	1073	361	MALE	28	NORTHERN	3
406	2284	A	1083	352	FEMALE	33	SOUTHERN	2
407	2284	B	1153	352	FEMALE	36	WESTERN	3
408	2285	A	1214	312	FEMALE	35	NEW ENGLAND	2
409	2285	B	1068	312	FEMALE	36	SOUTH MIDLAND	3
410	2286	A	1024	345	MALE	31	NORTH MIDLAND	2
411	2286	B	1178	345	FEMALE	34	SOUTH MIDLAND	2
412	2287	A	1022	355	FEMALE	36	SOUTH MIDLAND	2
413	2287	B	1135	355	FEMALE	32	SOUTH MIDLAND	2
414	2288	A	1093	357	FEMALE	35	NORTH MIDLAND	2
415	2288	B	1219	357	MALE	42	SOUTHERN	2
416	2289	A	1214	335	FEMALE	35	NEW ENGLAND	2
417	2289	B	1039	335	MALE	52	SOUTHERN	3
418	2290	A	1101	360	MALE	56	SOUTH MIDLAND	3
419	2290	B	1053	360	FEMALE	28	SOUTH MIDLAND	2
420	2291	A	1180	353	FEMALE	61	NORTH MIDLAND	2
421	2291	B	1084	353	MALE	36	WESTERN	3
422	2292	A	1148	345	FEMALE	36	SOUTH MIDLAND	3
423	2292	B	1176	345	FEMALE	36	MIXED	2
424	2293	A	1120	302	FEMALE	26	NORTH MIDLAND	2
425	2293	B	1142	302	MALE	32	NORTHERN	2
426	2294	A	1121	322	MALE	58	NEW ENGLAND	2
427	2294	B	1122	322	MALE	31	SOUTH MIDLAND	9
428	2295	A	1000	305	FEMALE	41	SOUTH MIDLAND	1
429	2295	B	1016	305	FEMALE	50	SOUTHERN	2
430	2296	A	1130	356	FEMALE	54	NORTHERN	3
431	2296	B	1056	356	MALE	47	WESTERN	3
432	2297	A	1019	318	MALE	54	NEW ENGLAND	3
433	2297	B	1052	318	MALE	65	NYC	2
434	2298	A	1170	337	MALE	43	WESTERN	3
435	2298	B	1023	337	MALE	56	SOUTHERN	2
436	2299	A	1108	335	MALE	45	NORTHERN	2
437	2299	B	1107	335	FEMALE	34	WESTERN	2
438	2300	A	1083	357	FEMALE	33	SOUTHERN	2
439	2300	B	1061	357	MALE	38	SOUTH MIDLAND	2
440	2301	A	1013	304	FEMALE	38	SOUTH MIDLAND	2
441	2301	B	1133	304	MALE	60	SOUTH MIDLAND	2
442	2302	A	1047	341	MALE	32	SOUTH MIDLAND	2
443	2302	B	1085	341	MALE	48	SOUTH MIDLAND	3
444	2303	A	1028	355	MALE	30	NYC	3
445	2303	B	1031	355	FEMALE	55	SOUTH MIDLAND	3
446	2304	A	1105	306	FEMALE	51	NYC	3
447	2304	B	1167	306	MALE	26	NORTHERN	3
448	2305	A	1141	324	MALE	33	MIXED	3
449	2305	B	1169	324	MALE	34	NORTH MIDLAND	2
450	2306	A	1123	339	FEMALE	39	SOUTH MIDLAND	3
451	2306	B	1060	339	FEMALE	53	WESTERN	1
452	2307	A	1115	313	MALE	37	SOUTH MIDLAND	2
453	2307	B	1020	313	FEMALE	39	NORTH MIDLAND	2
454	2308	A	1214	305	FEMALE	35	NEW ENGLAND	2
